Cat #,Suffix,SITE,Period,Form,FormAssessment,Shape,Group,RimDiameter,MunsellPaste,PasteColor,Pocking,HCL,TemperReg,Temper%,Firing,Surface,Design,WallThick,Freq,Weight,Volume,Comments,Assessment,CeramicForm,MunsellSlipColor,Slip,RimShape,Sherds,Page,LevelStratum,Year,Episode
13042,S,28121,LC,71,1,679,BG1,14,10YR7/4,very pale brown,0,1,1,1,2,10,0,48,1,13.7,0.41,,,,,,,,,,,
13042,T,28121,LC,71,1,665,,28,7.5YR6/6,reddish yellow,0,1,1,1,2,12,0,79,1,13.7,0.41,,,,,,,,,,,
13042,U,28121,LC,72,2,1313,PG4,40,10YR6/3,pale brown,0,1,1,1,1,12,0,66,1,13.7,0.41,,,,,,,,,,,
13042,W,28121,LC,71,1,1004,,30,7.5YR5/3,brown,0,2,1,1,2,11,0,87,1,13.7,0.41,,,,,,,,,,,
13042,X,28121,LC,72,1,1309,PG2,23,10YR6/3,pale brown,0,0,1,1,2,13,0,64,1,13.7,0.41,,,,,,,,,,,
13042,Y,28121,LC,72,1,1006,BG2,30,10YR6/4,light yellowish brown,0,0,1,0,2,11,0,51,1,13.7,0.41,Changed 1304(?) to 13042 1/7/11 JBP,,,,,,,,,,
13043,A,28121,LC,40,1,246,JG3,22,7.5YR4/4,brown,1,0,1,1,1,11,0,112,1,7.3,0.155,,,,,,,,,,,
13043,B,28121,LC,74,1,55,,,7.5YR6/3,light brown,0,1,1,1,2,11,0,59,1,7.3,0.155,,,,,,,,,,,
13044,B,28121,,41,1,246,JG3,34,7.5YR6/2,pinkish red,1,3,1,1,2,11,0,91,1,20.6,0.2,,,,,,,,,,,
13044,C,28121,LC,51,1,272,JG3,50,10YR6/3,pale brown,2,3,1,2,1,11,0,92,1,20.6,0.2,,,,,,,,,,,
13044,E,28121,LC,72,1,1308,PG2,36,10YR5/3,brown,0,0,1,1,2,11,0,57,1,20.6,0.2,,,,,,,,,,,
13044,F,28121,LC,71,1,1307,PG1,32,5YR6/4,light reddish brown,0,1,1,1,2,11,11,74,1,20.6,0.2,,,,,,,,,,,
13044,G,28121,,71,1,99,,30,7.5YR4/2,brown,1,3,1,2,2,11,0,58,1,20.6,0.2,Unknown,,,,,,,,,,
13044,H,28121,LC,53,1,53,,,7.5YR6/4,light brown,0,1,1,1,2,11,0,74,1,20.6,0.2,,,,,,,,,,,
13045,A,28121,LC,40,1,280,,28,10YR3/1,very dark grey,2,1,1,1,1,11,0,72,1,15.5,0.33,,,,,,,,,,,
13045,B,28121,LC,40,1,259,JG2,28,10YR3/1,very dark grey,2,1,1,1,1,11,0,72,1,15.5,0.33,,,,,,,,,,,
13045,C,28121,LC,33,1,241,,10,5YR4/6,red,0,1,1,1,2,12,0,53,1,15.5,0.33,,,,,,,,,,,
13045,D,28121,LC,71,1,816,,24,7.5YR6/4,light brown,0,1,1,1,2,13,0,50,1,15.5,0.33,,,,,,,,,,,
13045,E,28121,,71,1,639,,34,5YR5/6,red,0,0,1,1,2,12,0,77,1,15.5,0.33,,,,,,,,,,,
13045,F,28121,EC,33,2,226,,18,10YR4/3,brown,1,1,1,1,1,12,0,59,1,15.5,0.33,,,,,,,,,,,
13045,G,28121,LC,72,1,1357,,30,7.5YR5/3,brown,2,1,1,1,2,13,0,94,1,15.5,0.33,,,,,,,,,,,
16464,A,272145,LC,78,1,1014,BG2,40,10YR6/3,pale brown,0,1,1,1,1,13,13,90,1,12.1,0.248,,,,,,,,,,,
13001,A,28121,LC,71,1,807,BG4,28,7.5YR6/4,light brown,0,1,1,1,2,12,13,58,1,12.1,0.248,,,,,,,,,,,
