ID,Field1,Cat #,Suffix,SITE,Period,Form,FormAssessment,Shape,Group,RimDiameter,MunsellPaste,PasteColor,Pocking,HCL,TemperReg,Temper%,Firing,Surface,Design,WallThick,Freq,Weight,Volume,Comments,Assessment,CeramicForm,MunsellSlipColor,Slip,RimShape,Sherds,Page,LevelStratum,Year,Episode,Vessel
3077,12192,16497,P,272182,LC,1,1,239,JG1,35,10YR5/2,grayish brown,1,2,1,1,2,11,0,49,1,14.5,1.95,,,,,,,,,,,,Jars
1724,8882,14245,T,27826,LC,1,1,239,JG1,22,2.5YR5/6,red,0,0,1,1,2,11,0,46,1,15.4,0.62,Orange clay,,,,,,,,,,,Jars
2671,11227,16350,D,272145,LC,1,2,1014,BG2,19,10YR6/4,light yellowish brown,1,0,1,1,2,11,0,65,1,11.5,0.61,Bowl,,,,,,,,,,,Bowls
2714,11307,16384,E,272145,LC,1,2,806,BG1,18,10YR6/4,light yellowish brown,0,1,1,1,2,11,0,43,1,17.4,0.75,Bowl,,,,,,,,,,,Bowls
2737,11377,16408,Q,272145,LC,1,1,1006,BG2,13,10YR7/6,yellow,0,1,1,1,2,13,0,51,1,16,0.6,STRUCTURE #1,,,,,,,,,,,Bowls
2747,11395,16414,AA,272168,LC,1,1,618,BG4,,10YR6/4,light yellowish brown,1,0,1,1,2,12,13,38,1,15.6,1.16,,,,,,,,,,,,Bowls
1182,7707,13323,N,28121,LC,1,1,1056,BG2,25,5YR6/6,light red,0,3,1,2,2,13,0,65,1,18.3,0.89,,,,,,,,,,,,Bowls
1580,8529,14190,C,27826,LC,1,1,1006,BG2,28,2.5YR5/6,red,0,1,1,1,1,11,0,48,1,5.5,0.485,,,,,,,,,,,,Bowls
679,6716,13171,AI,28121,LC,1,1,1006,BG2,30,5YR5/6,red,0,0,1,1,2,12,0,54,1,10.6,1.1,,,,,,,,,,,,Bowls
1567,8500,14178,B,27826,LC,1,1,806,BG1,21,2.5Y5/3,light olive brown,0,0,1,1,2,12,12,57,1,11.4,0.63,Pattern on exterior,,,,,,,,,,,Bowls
1547,8447,13456,O,28121,LC,1,1,1006,BG2,23,10YR6/4,light yellowish brown,0,1,1,2,2,13,0,58,1,21.7,0.129,,,,,,,,,,,,Bowls
3058,12143,16497,A,272182,LC,1,1,239,JG1,20,10YR6/4,light yellowish brown,3,1,1,1,2,11,11,53,1,14.5,1.95,2 SHERDS,,,,,,,,,,,Jars
2355,10543,14396,AD,27866,LC,1,1,248,JG1,9,10YR6/4,light yellowish brown,1,0,1,1,2,12,0,26,1,15.2,0.83,Miniature,,,,,,,,,,,Jars
3069,12182,16497,D,272182,LC,1,1,239,JG1,22,10YR6/3,pale brown,2,1,1,1,2,11,11,63,1,14.5,1.95,,,,,,,,,,,,Jars
2756,11432,16414,X,272168,LC,1,1,618,BG4,13,10YR7/4,very pale brown,2,1,1,1,2,13,13,50,1,15.6,1.16,,,,,,,,,,,,Bowls
880,7117,13207,I,28121,LC,1,2,1006,BG2,26,10YR7/3,very pale brown,0,2,1,1,1,13,24,76,1,10.2,0.16,,,,,,,,,,,,Bowls
3118,12301,16498,EE,272182,LC,1,2,248,JG1,7,2.5Y6/2,light brownish gray,2,2,1,1,2,11,0,61,1,18.9,0.975,,,,,,,,,,,,Jars
1354,8044,13405,AA,28121,LC,1,1,233,JG1,12,2.5YR5/6,red,0,1,1,1,1,12,0,63,1,25.8,0.6,,,,,,,,,,,,Jars
1323,7995,13394,U,28121,LC,1,1,1006,BG2,19,2.5Y6/4,light yellowish brownish,0,3,1,2,2,13,0,56,1,16.9,1.16,,,,,,,,,,,,Bowls
3272,12608,16527,AM,272182,LC,1,1,1014,BG2,14,5YR6/6,light red,0,2,1,1,0,13,0,62,1,17.5,1.285,SLIPPED BOTH SIDES,,,,,,,,,,,Bowls
2084,9822,14321,CZ,27826,LC,1,1,626,BG2,,7.5YR6/6,reddish yellow,0,0,1,1,2,13,11,57,1,17,0.33,GROOVE ON EXT SOME RED SLIP,,,,,,,,,,,Bowls
1014,7387,13272,AO,28121,LC,1,1,1014,BG2,23,5YR6/8,light red,0,3,1,1,2,13,0,49,1,25.8,0.0725,,,,,,,,,,,,Bowls
1655,8720,14220,L,272220,LC,1,1,806,BG1,13,10YR6/2,light brownish gray,1,2,1,1,2,11,0,33,1,19.3,0.98,,,,,,,,,,,,Bowls
1038,7438,13276,D,28121,LC,1,1,248,JG1,10,10YR7/4,very pale brown,0,1,1,1,1,12,0,47,1,13.9,0.5,,,,,,,,,,,,Jars
1043,7458,13294,AF,28121,LC,1,1,235,JG1,10,2.5YR5/6,red,1,1,1,2,2,11,0,65,1,20.3,0.52,,,,,,,,,,,,Jars
1151,7644,13317,A,28121,LC,1,1,1056,BG2,20,10YR7/6,yellow,0,0,1,2,2,14,24,62,1,14.6,0.07,,,,,,,,,,,,Bowls
1462,8258,13422,AD,28121,LC,1,1,1028,BG2,20,7.5YR6/6,reddish yellow,0,1,1,1,2,15,20,53,1,13.8,1.49,,,,,,,,,,,,Bowls
2215,10173,14342,AC,27826,LC,1,1,806,BG1,,10YR7/4,very pale brown,0,0,1,1,2,12,0,48,1,18,0.54,,,,,,,,,,,,Bowls
2144,10019,14332,Q,272220,LC,1,1,1006,BG2,13,10YR3/1,very dark grey,2,1,1,2,2,11,0,58,1,16.1,0.86,bowl,,,,,,,,,,,Bowls
2175,10085,14334,R,272220,LC,1,1,806,BG1,16,10YR5/3,brown,2,2,1,2,2,11,0,40,1,15.7,1.43,bowl,,,,,,,,,,,Bowls
2812,11546,16445,A,272145,LC,1,1,235,JG1,12,10YR5/2,grayish brown,2,0,1,1,2,11,0,44,1,17.6,0.16,2 SHERDS,,,,,,,,,,,Jars
2064,9768,14320,P,27826,LC,1,1,1028,BG2,25,10YR6/4,light yellowish brown,1,0,1,1,2,12,11,72,1,19.2,0.37,Pattern on interior.  Indentation on exterior,,,,,,,,,,,Bowls
2234,10244,14342,Z,27826,LC,1,1,617,BG3,12,10YR6/6,brownish yellow,1,1,1,2,2,12,0,66,1,18,0.54,,,,,,,,,,,,Bowls
2345,10525,14388,J,27866,LC,1,1,1006,BG2,15,7.5YR7/6,reddish yellow,3,2,1,1,2,11,0,48,1,14.2,0.57,AATP Bowl 2 pieces,,,,,,,,,,,Bowls
5519,22131,16564,M,272136,PC,1,1,1006,BG2,16,10YR6/6,brownish yellow,0,0,1,1,2,13,0,36,1,11.6,0.8,,,,,,,,,,,,Bowls
5509,22075,16542,AS,272136,PC,1,1,1014,BG2,14,7.5YR5/6,strong brown,1,2,1,2,2,13,11,56,1,18.4,2.11,BOWL,,,,,,,,,,,Bowls
2309,10450,14387,AE,27866,LC,1,1,806,BG1,23,10YR6/6,brownish yellow,0,1,1,1,2,11,0,28,1,17.2,1.09,AATP Bowl,,,,,,,,,,,Bowls
2057,9752,14319,R,27826,LC,1,1,1028,BG2,33,10YR6/4,light yellowish brown,0,0,1,1,2,13,11,48,1,16.4,0.24,Red slip on interior and exterior,,,,,,,,,,,Bowls
2058,9753,14319,S,27826,Lc,1,1,1006,BG2,22,10YR6/6,brownish yellow,1,0,1,1,2,13,0,68,1,16.4,0.24,,,,,,,,,,,,Bowls
5474,21748,16271,D,272145,PC,1,1,1001,BG2,13,5YR5/6,red,1,2,1,2,2,11,0,78,1,11.3,0.36,BOWL,,,,,,,,,,,Bowls
2884,11691,16468,A,272136,LC,2,1,1307,PG1,18,10YR7/3,very pale brown,1,3,1,1,2,11,0,45,1,16.3,1.375,,,,,,,,,,,,Plates
1078,7510,13294,E,28121,LC,2,1,1028,BG2,18,7.5YR6/6,reddish yellow,0,1,1,1,2,13,11,54,1,20.3,0.52,,,,,,,,,,,,Bowls
2225,10203,14342,CB,27826,LC,3,1,617,BG3,,10YR5/3,brown,0,0,1,1,2,13,11,55,1,18,0.54,2 GROOVES ON EXT,,,,,,,,,,,Bowls
1761,8972,14250,B,27826,LC,5,2,270,JG1,,10YR6/3,pale brown,0,0,1,1,2,21,0,67,1,11,0.99,,,,,,,,,,,,Jars
3486,13084,16579,W,272145,LC,10,1,252,JG2,,10YR6/6,brownish yellow,0,1,1,1,2,13,0,62,1,23.7,1.65,,,,,,,,,,,,Jars
3317,12706,16531,AG,272136,LC,20,1,101,VG1,,2.5Y4/2,dark grayish brown,2,1,1,1,2,11,0,37,1,16.3,1.23,VASE,,,,,,,,,,,Vases
1564,8494,14171,S,27826,LC,21,1,107,VG2,14,7.5YR6/4,light brown,0,0,1,1,1,13,11,58,1,17.8,0.21,3 pcs. Red slip on interior and exterior. 2 grooves on exterior,,,,,,,,,,,Vases
4220,15530,18512,B,272025,LC,21,,251,JG3,15,10YR5/6,yellowish brown,,,,,,,,,1,,,,,Jar,,,,,-,43508,1998,-,Jars
3504,13128,16590,ZI,272145,LC,22,1,104,VG2,20,7.5YR5/4,brown,0,1,1,1,2,13,24,67,1,17.8,0.84,,,,,,,,,,,,Vases
3503,13127,16590,I,272145,LC,22,1,108,VG2,20,7.5YR5/4,brown,0,1,1,1,2,13,24,67,1,17.8,0.84,,,,,,,,,,,,Vases
1312,7976,13374,N,28121,LC,22,2,1315,PG2,25,7.5YR4/4,brown,0,2,1,1,2,12,0,56,1,13.5,1.11,,,,,,,,,,,,Plates
1806,9104,14262,H,27826,LC,23,1,1307,PG1,32,2.5YR6/6,light red,0,1,1,1,2,12,0,84,1,16.3,0.54,,,,,,,,,,,,Plates
